Star,instr_broad,teff,logg,feh,vrot,vrot_err,vmac,status,vsini_final_err,date,comments
38Vir,0.055,6440.0,4.42,0.16,28.767,0.001,5.674,2,2.2880257865679745,2024-03-12 17:38:55.606654
CoRoT-11,0.055,6343.0,4.27,0.04,42.829,0.128,5.509,5,4.9568637261881605,2024-03-12 18:40:10.243527
CoRoT-19,0.055,6317.0,4.38,0.17,6.679,0.0,5.171,1,0.8453336619347419,2024-03-12 20:02:32.731735 
CoRoT-1,0.061,6344.0,4.46,0.12,7.189,0.05,5.134,1,1.4468697246124123,2024-03-12 21:18:31.087653
CoRoT-25,0.13,6104.0,4.3,0.16,4.61,0.077,4.466,1,0.9015176093676709,2024-03-12 22:38:50.577240
CoRoT-2,0.055,5676.0,4.71,0.01,10.245,0.035,2.455,1,0.2841038542505186,2024-03-12 23:10:12.599253
CoRoT-3,0.055,6558.0,4.25,0.14,17.46,0.069,5.5,1,1.1744692418279858,2024-03-12 23:28:49.412771
CoRoT-4,0.11,6238.0,4.55,0.18,7.704,0.052,4.489,1,0.5141381137398782,2024-03-12 23:51:59.261716,Muito desviado
CoRoT-6,0.061,6265.0,4.6,0.01,9.789,0.051,4.503,1,0.9004504428340291,2024-03-13 11:17:27.138903 
DSTucA,0.13,5909.0,4.83,0.01,17.712,0.054,2.772,1,1.936523947695973,2024-03-13 11:49:52.593695
GJ3021,0.055,5563.0,4.48,0.06,4.198,0.029,2.723,1,0.7804069451254263,2024-03-13 12:15:06.887225
HAT-P-34,0.13,6509.0,4.24,0.08,21.575,0.166,5.5,1,2.0826310282908977,2024-03-13 12:43:30.319521
HAT-P-39,0.061,6721.0,4.79,0.22,14.328,0.061,5.5,1,1.918793892006123,2024-03-13 13:01:01.638315
HAT-P-45,0.061,6531.0,4.65,0.14,10.293,0.05,5.5,1,1.1032860009988343,2024-03-13 14:48:21.916195
HAT-P-46,0.055,6344.0,4.43,0.36,4.658,0.051,5.194,1,0.4318772973889695,2024-03-13 15:23:49.186216
HAT-P-50,0.061,6377.0,4.3,-0.05,8.445,0.054,5.608,1,0.7004969664459636,2024-03-13 15:43:44.254110
HAT-P-66,0.135,6250.0,4.29,0.15,5.0,0.075,5.06,1,6.9300523086048935,2024-03-27 21:04:39.718630
HATS-10,0.13,6167.0,4.51,0.4,5.757,0.045,4.283,1,1.4185718170046946,2024-03-13 16:13:39.806710 
HATS-27,0.055,6650.0,4.46,0.36,8.227,0.044,5.5,1,1.195220900085002,2024-03-13 16:28:41.048877 
HATS-3,0.13,6347.0,4.52,-0.02,7.974,0.059,5.028,1,1.3757245363807398,2024-03-13 16:43:57.604367 
HATS-56,0.055,6594.0,3.98,0.25,5.525,0.062,5.5,1,0.7909576474123007,2024-03-13 17:21:32.146796 
HATS-58A,0.055,6564.0,4.35,0.13,4.596,0.078,5.5,1,0.8204590178674379,2024-03-13 17:41:10.830381 
HATS-66,0.061,7000.0,4.8,0.08,13.869,0.001,5.5,1,22.350832512459128,2024-03-22 12:33:12.652027, Mais ou menos desviado
HATS-68,0.13,6276.0,4.43,0.24,7.331,0.051,4.891,1,1.7918440222296141,2024-03-13 18:04:42.755287
HD103774A,0.055,6586.0,4.48,0.31,8.998,0.046,5.5,1,0.48259817654027803,2024-03-13 18:23:41.948201 
HD106315,0.061,6591.0,4.75,-0.06,13.993,0.001,5.5,1,1.5127620434159506,2024-03-13 21:59:43.076362
HD10647,0.055,6178.0,4.49,-0.01,5.186,0.045,4.366,1,0.29093470057729526,2024-03-14 15:02:13.579228
HD11231,0.055,6643.0,4.32,0.19,7.524,0.05,5.5,1,0.43641837724825416,2024-03-13 23:34:12.211463
HD115954,0.072,5957.0,4.15,0.34,4.954,0.041,4.274,1,0.37419112763399387,2024-03-14 11:02:00.588931
HD12484,0.072,5115.0,4.54,0.09,11.182,0.032,2.344,1,0.3051048999934293,2024-03-14 11:28:53.066406,Muito desviado
HD133131B,0.087,5751.0,4.37,-0.28,1.865,0.0,3.291,1,0.6533911539039994,2024-03-14 11:56:13.751232,Muito desviado?
HD13908,0.097,6241.0,4.16,0.0,3.763,0.073,5.282,1,0.7159734631953895,2024-03-14 12:16:56.249164 
HD143105,0.072,6381.0,4.41,0.17,9.747,0.054,5.407,1,0.5570996320228546,2024-03-14 13:07:52.733695 
HD147873,0.055,6180.0,4.06,0.26,8.913,0.037,5.234,1,0.3607062516785648,2024-03-14 12:40:18.205151
HD1666,0.055,6508.0,4.29,0.39,6.192,0.001,5.5,1,0.2551646527244714,2024-03-18 11:35:29.411227
HD196885A,0.072,6312.0,4.43,0.25,7.327,0.045,5.049,1,0.4667568960390409,2024-03-14 15:34:27.768074
HD19994A,0.055,6249.0,4.26,0.27,8.465,0.038,5.115,1,0.3218912859957548,2024-03-14 16:04:34.468186
HD205739,0.055,6273.0,4.37,0.19,4.109,0.0,4.998,1,0.593897297518687,2024-03-14 16:38:30.193834
HD208487,0.055,6137.0,4.46,0.09,4.099,0.061,4.268,1,0.3877125223667658,2024-03-14 17:33:21.778132
HD27969,0.072,5966.0,4.12,0.18,3.594,0.062,4.362,1,0.4069692863104045,2024-03-14 17:57:27.276054
HD286123,0.055,5961.0,4.33,0.07,2.798,0.0,3.926,1,0.016031219541881404,2024-03-14 21:34:56.200385,Muito desviado?-Não está no relatório
HD50499,0.055,6066.0,4.27,0.33,3.838,0.047,4.39,1,0.521331947994749,2024-03-14 22:19:22.653398
HD60532,0.055,6281.0,4.0,-0.07,6.628,0.059,5.772,1,0.5912655917605891,2024-03-14 23:26:30.057196
HD63433,0.072,5671.0,4.49,0.0,7.077,0.032,2.885,1,0.20055921818754757,2024-03-14 23:47:27.786897
HD66141,0.087,4357.0,1.99,-0.33,6.058,0.025,2.0,1,0.27636389055012245,2024-03-22 13:19:54.809865,Muito desviado
HD70573,0.13,5904.0,4.48,0.0,14.018,0.049,3.458,1,0.8193228911729494,2024-03-15 08:56:59.526248
HD87646A,0.061,5949.0,4.28,0.28,8.725,0.036,3.99,1,0.25716920499935475,2024-04-06 19:11:50.271069
HD93963A,0.072,5987.0,4.49,0.1,6.195,0.035,3.688,1,0.7325230371804019,2024-03-15 10:08:23.905562
HR858,0.055,6360.0,4.5,-0.02,7.867,0.056,5.128,1,0.37765857596511665,2024-03-15 10:45:12.125786
K2-100,0.055,6377.0,4.81,0.32,13.41,0.044,4.588,1,1.0207653991001067,2024-03-15 11:08:01.490697
K2-290,0.055,6385.0,4.44,0.04,6.679,0.0,5.366,1,0.32234298503302367,2024-03-16 17:12:27.556214
KELT-16,0.061,6514.0,4.45,0.09,6.488,0.063,5.5,1,0.7461166128695962,2024-03-17 09:53:16.380350,Muito desviado
KELT-4A,0.061,6478.0,4.34,0.0,6.68,0.057,6.026,1,0.4627634384866643,2024-03-17 10:25:20.730473
KELT-6,0.055,6325.0,4.3,-0.23,4.21,0.071,5.367,1,0.8092533595852409,2024-03-17 12:04:16.847980
Kepler-21,0.11,6323.0,4.21,0.05,6.685,0.109,5.538,1,1.0037061322917178,2024-03-17 14:27:57.479752
Kepler-39,0.135,6556.0,4.78,0.06,13.155,0.067,5.5,1,8.326361870589098,2024-03-22 14:52:21.285318
Kepler-40,0.135,6296.0,4.48,0.01,8.57,0.063,4.878,1,1.7527549743190007,2024-03-18 12:10:58.908007
Kepler-410A,0.11,6440.0,4.57,0.11,12.99,0.101,5.374,1,1.5428995430681811,2024-03-18 12:27:41.459879
Kepler-435,0.135,6388.0,4.23,0.06,7.642,0.066,5.8,1,3.9276192534409438,2024-03-18 12:39:04.817113,Muito desviado
Kepler-539,0.135,5841.0,4.52,-0.02,8.862,0.001,3.207,1,0.5019063657695519,2024-04-07 20:02:39.013000,Extremamente desviado
Kepler-65,0.097,6374.0,4.41,0.23,8.717,0.053,5.374,1,0.6414569354212343,2024-03-18 13:23:24.002910
Kepler-74,0.135,6956.0,4.41,0.34,4.999,0.088,5.5,1,0.9610083246257543,2024-04-10 11:43:14.684499
Kepler-89,0.135,6306.0,4.44,0.1,7.907,0.062,5.002,1,0.8911144707611928,2024-03-18 15:37:52.821736
Kepler-90,0.135,6142.0,4.47,0.15,5.472,0.067,4.267,1,1.164949355122359,2024-04-10 12:38:05.602222
KPS-1,0.135,4963.0,4.17,0.22,6.518,0.04,2.0,1,1.179058098653328,2024-03-18 18:14:54.954857 
Pr0211,0.055,5250.0,4.37,0.16,5.281,0.026,2.678,1,0.13548431643551928,2024-03-18 17:33:06.460337
TOI1298,0.072,5889.0,4.39,0.49,3.732,0.0,3.596,1,0.5082696134926818,2024-03-18 17:47:17.970194,Muito desviado
TOI-130,0.045,6203.0,4.5,-0.12,3.958,0.042,4.446,1,1.145155884585151,2024-03-18 19:27:18.517714
TOI-677,0.13,6300.0,4.52,0.14,6.929,0.063,4.816,1,1.0126406075207535,2024-03-18 20:04:09.368748
TOI-813,0.055,6187.0,4.26,0.22,8.102,0.04,4.862,1,0.4668715026642764,2024-03-18 20:24:40.210483
WASP-103,0.082,6188.0,4.48,0.29,10.759,0.039,4.425,1,1.14947031279629,2024-03-18 22:24:35.491053
WASP-113,0.135,6049.0,4.26,0.26,6.531,0.0,4.352,1,0.6711788137299924,2024-03-18 22:44:05.649081
WASP-114,0.13,6110.0,4.44,0.51,5.899,0.046,4.208,1,1.097992714001327,2024-03-22 15:23:03.298570
WASP-118,0.061,6662.0,4.38,0.29,12.117,0.054,5.5,1,1.3767501588886764,2024-03-18 23:49:32.957733
WASP-120,0.061,6774.0,4.62,0.15,16.424,0.063,5.5,1,2.916422123081637,2024-03-19 00:11:16.198331
WASP-135,0.135,5052.0,4.11,0.17,5.327,0.038,3.232,1,0.7795575668287754,2024-03-19 09:38:32.613478
WASP-136,0.061,6770.0,4.57,0.18,14.867,0.066,5.5,1,1.0641607021498203,2024-03-19 10:14:27.508323
WASP-138,0.061,6277.0,4.36,0.0,8.893,0.048,5.035,1,0.6053379221558828,2024-03-19 14:52:02.150824,Muito desviado
WASP-139,0.055,5215.0,4.35,0.12,0.1,0.0,2.712,4,0.0,2024-03-19 17:53:25.238933,Muito desviado/Errado
WASP-150,0.135,6486.0,4.46,0.27,8.778,0.059,5.827,1,0.6697775750202456,2024-03-19 19:24:23.185311
WASP-153,0.135,5968.0,4.28,0.33,4.621,0.066,4.048,1,0.8816575298833437,2024-03-19 19:41:49.529506
WASP-166,0.055,6142.0,4.45,0.25,4.869,0.041,4.307,1,0.3638612372869641,2024-03-19 21:11:21.526704
WASP-173A,0.055,5803.0,4.45,0.21,6.978,0.033,3.252,1,0.3094931340110786,2024-03-19 21:34:35.513084,Ligeiramente desviado
WASP-174,0.055,6755.0,4.83,0.3,16.941,0.06,5.5,1,1.5280788592216046,2024-03-19 22:44:30.897359
WASP-190,0.055,6730.0,4.52,0.15,14.153,0.059,5.5,1,0.8270247880202867,2024-03-19 23:46:39.624547
WASP-20,0.055,6032.0,4.43,0.09,4.197,0.0,3.954,1,0.11627553482998887,2024-03-20 00:02:46.429078
WASP-31,0.055,6380.0,4.59,-0.08,7.806,0.057,5.042,1,0.7257120641135859,2024-03-20 11:51:11.062467
WASP-75,0.061,6102.0,4.37,0.24,5.597,0.048,4.319,1,0.316835919680834,2024-05-16 12:10:37.108528,desviado
WASP-84,0.055,5232.0,4.3,0.05,3.082,0.0,2.814,1,0.06603029607687654,2024-03-20 12:27:28.031521
WASP-87A,0.061,6529.0,4.51,-0.28,11.19,0.079,5.5,1,1.8043962979345751,2024-03-20 13:19:49.589436
WASP-90,0.061,6381.0,4.31,0.19,7.19,0.051,5.607,3,0.7272262371504485,2024-03-20 15:25:32.331153,Muito desviado
WASP-92,0.135,6039.0,4.21,0.1,6.533,0.053,4.418,1,1.2724853633735838,2024-03-20 16:00:15.203607
XO-7,0.072,6109.0,4.3,0.4,5.933,0.04,4.484,1,0.4954391990951059,2024-03-20 16:13:59.199648
